p,ford,fI,fII
1000033,1152,133,59
1000081,798,93,40
1000249,1182,144,53
1000273,1128,130,58
1000393,1602,195,72
1000537,1398,167,66
1000609,1224,137,67
1000777,1368,159,69
1000849,858,96,47
1000921,1176,131,65
1000969,1134,127,62
1001017,1326,146,75
1001041,1446,161,80
1001089,996,118,48
1001353,1320,147,73
1001401,768,88,40
1001569,1440,164,76
1001593,1410,159,76
1001713,1686,202,79
1001809,1110,124,61
1001953,1212,142,60
1001977,1692,193,89
1002049,930,101,54
1002073,1050,138,37
1002121,1194,136,63
1002241,834,96,43
1002289,990,115,50
1002361,1452,165,77
1002433,1602,198,69
1002457,1014,114,55
1002481,696,82,34
1002553,1452,176,66
1002577,1200,133,67
1002721,1128,124,64
1002769,954,115,44
1002817,1998,228,105
1002913,1278,146,67
1003201,744,87,37
1003273,1284,149,65
1003369,1170,121,74
1003417,1266,153,58
1003609,1356,161,65
1003729,906,90,61
1003753,1272,160,52
1003897,1734,199,90
1004089,1056,119,57
1004137,1014,120,49
1004161,834,93,46
1004209,1440,167,73
1004233,1284,147,67
1004401,1200,136,64
1004449,1194,135,64
1004737,1398,166,67
1004761,990,110,55
1004977,1296,154,62
1005049,1026,106,65
1005073,1326,156,65
1005217,1392,163,69
1005241,1350,167,58
1005313,864,102,42
1005409,1164,130,64
1005457,1446,174,67
1005481,780,88,42
1005553,1338,156,67
1005913,1602,188,79
1005937,1440,155,85
1006153,1032,134,38
1006177,1296,152,64
1006249,1032,119,53
1006393,1596,178,88
1006441,930,101,54
1006513,1194,139,60
1006609,1062,115,62
1006633,1482,180,67
1006897,1032,125,47
1006969,1146,134,57
1007089,1296,141,75
1007137,1458,169,74
1007161,528,57,31
1007353,1242,157,50
1007401,1056,113,63
1007497,1284,144,70
1007857,1674,208,71
1007977,1668,194,84
1008001,948,111,47
1008193,1140,132,58
1008409,1452,170,72
1008433,1704,195,89
1008793,1344,152,72
1008817,1344,166,58
1008913,1428,180,58
1008937,1314,161,58
1009153,1056,125,51
1009201,954,105,54
1009321,1206,137,64
1009369,1062,123,54
1009417,1632,192,80
1009537,1344,151,73
1009609,1290,135,80
1009873,1242,145,62
1009993,1002,119,48
1010329,1026,114,57
1010353,1350,159,66
1010473,1638,190,83
1010617,1284,139,75
1010809,1008,115,53
1010833,1314,161,58
1010881,684,77,37
1010929,1206,127,74
1011001,1266,149,62
1011217,1590,189,76
1011289,1308,150,68
1011553,1296,143,73
1011601,1344,142,82
1011649,840,100,40
1011697,1416,162,74
1011817,1266,152,59
1011889,1014,116,53
1011937,1344,169,55
1011961,1152,122,70
1012009,1242,153,54
1012201,1134,119,70
1012321,984,107,57
1012369,1152,131,61
1012489,1032,127,45
1012513,1062,125,52
1012633,1326,173,48
1012657,1164,138,56
1012993,1368,167,61
1013041,1092,114,68
1013329,798,84,49
1013377,1296,147,69
1013401,828,94,44
1013569,1260,142,68
1013641,1080,116,64
1013713,1326,148,73
1013833,1986,236,95
1014121,1134,132,57
1014193,1290,144,71
1014337,1080,133,47
1014361,1044,123,51
1014457,1356,155,71
1014649,870,85,60
1014697,1296,158,58
1014721,780,92,38
1014817,1506,171,80
1014889,942,96,61
1015009,996,108,58
1015057,924,102,52
1015081,1068,129,49
1015369,1026,110,61
1015561,732,86,36
1015753,996,121,45
1015897,1164,131,63
1016089,876,96,50
1016137,1452,154,88
1016401,588,66,32
1016497,1320,149,71
1016569,1182,143,54
1016641,1320,142,78
1016689,1032,118,54
1016737,1266,145,66
1016881,1104,125,59
1016929,708,90,28
1017097,1056,122,54
1017193,1050,120,55
1017361,840,85,55
1017481,1134,126,63
1017553,1038,115,58
1017649,1002,114,53
1017673,1440,168,72
1017721,966,108,53
1017817,1356,159,67
1017889,1314,154,65
1018057,1758,208,85
1018177,960,122,38
1018201,1158,135,58
1018489,1242,126,81
1018513,1254,141,68
1018729,1134,131,58
1018777,1656,191,85
1018873,1362,155,72
1018993,1326,155,66
1019209,588,69,29
1019257,1704,208,76
1019281,948,107,51
1019329,1002,117,50
1019353,1206,130,71
1019377,1362,158,69
1019449,1326,158,63
1019617,1014,118,51
1019713,1386,162,69
1019857,1344,156,68
1020001,1050,113,62
1020049,1158,124,69
1020337,1500,181,69
1020361,750,81,44
1020457,1338,158,65
1020529,1254,130,79
1020841,870,92,53
1020913,1290,158,57
1020961,1014,122,47
1021081,1140,134,56
1021129,1146,127,64
1021297,1134,122,67
1021369,1596,196,70
1021417,1488,180,68
1021441,624,71,33
1021561,924,107,47
1021753,1536,172,84
1021777,1008,116,52
1021849,1254,138,71
1021897,1350,151,74
1022017,1590,172,93
1022113,1272,155,57
1022137,1134,135,54
1022209,1122,122,65
1022377,1650,182,93
1022449,912,95,57
1022689,1218,145,58
1022761,1152,133,59
1022881,810,92,43
1022929,1110,128,57
1022977,1206,133,68
1023289,852,100,42
1023313,1464,170,74
1023361,870,102,43
1023409,966,113,48
1023577,1062,120,57
1023601,1386,161,70
1023697,1506,166,85
1023721,1188,126,72
1023769,1242,136,71
1024249,798,95,38
1024321,720,84,36
1024609,918,103,50
1024633,888,113,35
1024729,1350,162,63
1024921,876,101,45
1025113,1410,151,84
1025137,906,106,45
1025161,1290,139,76
1025209,1026,111,60
1025257,1182,136,61
1025281,1044,110,64
1025641,912,105,47
1025929,768,89,39
1026073,1770,195,100
1026217,1524,197,57
1026313,1308,163,55
1026457,1686,206,75
1026481,738,75,48
1026577,1212,148,54
1026673,1350,171,54
