p,ford,fI,fII
1000176601,4200,501,199
1000177369,3306,361,190
1000177441,3654,432,177
1000178209,3414,379,190
1000179601,3546,418,173
1000180561,4032,471,201
1000181401,3456,408,168
1000182241,2550,298,127
1000182649,3318,392,161
1000182961,4848,586,222
1000184929,4524,545,209
1000185841,3828,459,179
1000186609,3852,451,191
1000187281,3528,403,185
1000187329,3390,394,171
1000187449,3750,438,187
1000188121,3210,388,147
1000188169,4164,494,200
1000188361,3360,390,170
1000189681,4200,475,225
1000189969,3552,423,169
1000190041,4248,483,225
1000190209,4278,522,191
1000190881,3666,436,175
1000191649,4032,477,195
1000192561,3456,406,170
1000195249,3528,426,162
1000195681,3378,360,203
1000195921,3264,373,171
1000198609,3426,414,157
1000199209,3600,427,173
1000200961,4026,486,185
1000201129,3360,413,147
1000201441,3654,428,181
1000202641,2670,300,145
1000202809,3792,445,187
1000203409,4338,536,187
1000203481,3564,410,184
1000203961,4080,441,239
1000204921,3204,343,191
1000206001,3912,474,178
1000206769,4032,467,205
1000206841,3648,422,186
1000207321,3690,403,212
1000207441,3804,457,177
1000207489,4308,520,198
1000208281,3204,396,138
1000208689,4530,522,233
1000210681,3918,476,177
1000210801,3660,413,197
1000210969,3024,334,170
1000211209,4236,501,205
1000212481,3960,462,198
1000212721,3330,388,167
1000214209,3408,383,185
1000214881,3216,385,151
1000215001,4230,476,229
1000215241,3738,443,180
1000215721,3432,411,161
1000215889,3438,409,164
1000216561,3162,379,148
1000216681,3852,434,208
1000217401,3642,428,179
1000217761,3102,339,178
1000218529,3318,381,172
1000219249,3348,381,177
1000219609,3264,374,170
1000220209,3660,440,170
1000221721,3504,419,165
1000221889,3726,465,156
1000222801,3528,420,168
1000223449,3378,372,191
1000224409,4422,529,208
1000224481,4308,500,218
1000225801,2856,317,159
1000226641,4710,556,229
1000227001,4176,460,236
1000228321,3114,352,167
1000229161,2916,344,142
1000229281,3576,402,194
1000229689,4554,535,224
1000230289,4536,545,211
1000231201,3876,470,176
1000231369,3600,429,171
1000231681,3240,377,163
1000232209,2988,354,144
1000233049,4092,467,215
1000233889,3798,424,209
1000234201,3576,420,176
1000238521,3600,412,188
1000239529,3600,408,192
1000239601,3888,465,183
1000240081,3120,359,161
1000240609,3456,384,192
1000241449,3882,450,197
1000242121,4596,559,207
1000242961,2436,275,131
1000243969,3888,461,187
1000244449,3978,453,210
1000245241,3324,389,165
1000247089,3816,450,186
1000248001,3042,353,154
1000248481,3042,351,156
1000250689,3270,388,157
1000251361,4224,494,210
1000252969,3186,352,179
1000253209,4224,482,222
1000253521,4122,493,194
1000253641,3366,385,176
1000253809,3696,418,198
1000254361,3918,453,200
1000254481,3552,423,169
1000254529,3600,439,161
1000256161,4248,506,202
1000256329,5304,622,262
1000257409,3522,423,164
1000258681,4236,529,177
1000258729,4686,551,230
1000258849,4410,511,224
1000259401,3588,419,179
1000259521,3852,449,193
1000259569,3372,392,170
1000259929,4242,500,207
1000260241,3582,439,158
1000261081,3444,403,171
1000262041,3438,385,188
1000263769,4008,478,190
1000264609,3570,425,170
1000266409,3522,400,187
1000266649,3624,438,166
1000267921,2586,318,113
1000268641,3768,428,200
1000268761,3954,468,191
1000269601,4074,494,185
1000270489,2850,321,154
1000271281,2514,300,119
1000271521,3912,464,188
1000271689,3822,427,210
1000272289,3030,358,147
1000273369,4530,514,241
1000274881,3756,448,178
1000275721,3492,377,205
1000276561,3426,400,171
1000278049,3600,432,168
1000278241,3054,358,151
1000279249,5442,662,245
1000279561,4002,488,179
1000279849,4284,477,237
1000280569,3480,424,156
1000281361,3816,472,164
1000282081,3894,465,184
1000283881,3600,441,159
1000284121,3786,445,186
1000284601,3936,441,215
1000285129,4146,469,222
1000285441,2844,325,149
1000286449,3906,454,197
1000286809,3048,357,151
1000288321,3642,407,200
1000289929,3414,393,176
1000290001,3732,447,175
1000292281,3978,449,214
1000293121,2496,302,114
1000293841,3414,420,149
1000294849,2856,339,137
1000294969,4212,492,210
1000295209,3300,393,157
1000296049,3060,348,162
1000298209,3090,346,169
1000298401,3798,436,197
1000299169,2970,344,151
1000299241,4674,555,224
1000299409,4008,477,191
1000299721,3612,420,182
1000300729,4374,530,199
1000300849,4002,469,198
1000301689,4002,479,188
1000301761,5070,583,262
1000302409,4422,519,218
1000302529,4464,572,172
1000302601,2898,340,143
1000303081,3594,424,175
1000304281,4092,481,201
1000305289,3744,382,242
1000305769,3348,384,174
1000306441,3462,421,156
1000307641,3702,436,181
1000307809,4818,572,231
1000309249,3372,411,151
1000310329,4200,478,222
1000312009,3342,376,181
1000312321,2922,330,157
1000313329,3522,413,174
1000313521,3096,351,165
1000313689,3990,454,211
1000315801,2952,338,154
1000316209,4140,494,196
1000316521,4620,504,266
1000316689,3492,412,170
1000316809,3762,479,148
1000317361,3906,463,188
1000318201,2964,345,149
1000320169,3264,386,158
1000323769,3846,454,187
1000324201,3462,388,189
1000324921,2964,342,152
1000326721,2928,336,152
1000326961,2850,349,126
1000327441,3396,389,177
1000327609,3666,454,157
1000329241,3786,429,202
1000329289,4308,531,187
1000330081,3816,437,199
1000330249,4308,530,188
1000330489,3690,456,159
1000331329,4326,505,216
1000331929,3330,361,194
1000332001,3612,395,207
1000332841,4128,475,213
1000333681,4050,457,218
1000334521,2976,341,155
1000336369,4044,488,186
1000337521,4254,517,192
1000337641,4122,496,191
1000338481,4044,474,200
1000339729,4026,450,221
1000340041,4476,534,212
1000341049,3444,396,178
1000342081,4320,521,199
1000342561,3156,353,173
1000342729,3078,356,157
1000343401,3354,393,166
1000344361,3606,432,169
1000344601,2742,319,138
1000346209,4266,532,179
