p,ford,fI,fII
100146289,3102,394,123
100146481,3036,354,152
100146649,2580,298,132
100146769,2700,323,127
100146793,3678,447,166
100146841,2814,320,149
100146913,3366,392,169
100146961,2364,285,109
100147009,2022,253,84
100147657,3252,393,149
100147777,3402,406,161
100147849,2790,333,132
100147921,2400,283,117
100148089,2946,350,141
100148593,3180,375,155
100148689,2928,330,158
100148761,3030,350,155
100148953,3552,437,155
100149409,2922,347,140
100149457,2646,309,132
100149937,3228,396,142
100150129,2442,273,134
100150513,2652,300,142
100150537,3696,441,175
100150681,1914,225,94
100150753,2994,361,138
100151017,3156,357,169
100151137,3048,362,146
100151377,2748,336,122
100151449,3282,382,165
100151473,3390,411,154
100151833,3564,441,153
100151881,3288,388,160
100151977,3708,449,169
100152121,2514,291,128
100152601,2874,339,140
100152721,2430,296,109
100152841,3024,365,139
100153441,3042,350,157
100153489,2604,327,107
100154017,3540,410,180
100154137,3930,458,197
100154401,2442,297,110
100154473,2466,298,113
100154569,2718,335,118
100154641,2538,292,131
100154713,3804,492,142
100155361,2868,350,128
100155457,2424,275,129
100155577,3252,370,172
100155673,3252,411,131
100155793,3366,385,176
100155817,3480,388,192
100155889,2172,246,116
100156393,2706,329,122
100156561,3228,383,155
100156873,3018,351,152
100156897,2400,299,101
100156921,3450,389,186
100157041,2634,303,136
100157089,3462,405,172
100157209,2232,257,115
100157377,2844,364,110
100157401,2418,282,121
100157521,2058,242,101
100157713,3096,364,152
100157737,3360,402,158
100157833,2886,321,160
100157977,2964,338,156
100158217,3582,431,166
100158433,2148,246,112
100158841,2802,302,165
100159009,3264,388,156
100159177,3060,362,148
100159201,2982,333,164
100159897,4044,484,190
100160017,3024,361,143
100160041,2448,292,116
100160257,2886,361,120
100160329,2790,324,141
100160449,1842,205,102
100160833,2994,351,148
100160953,2892,361,121
100161001,2772,334,128
100161097,2784,361,103
100161241,4236,514,192
100161289,3360,382,178
100161937,3174,380,149
100162009,2496,290,126
100162177,3162,378,149
100162417,3138,379,144
100162537,3402,421,146
100162801,2616,307,129
100162849,2856,341,135
100162921,2730,319,136
100163113,3048,373,135
100163233,2496,277,139
100163377,3876,458,188
100163521,2130,242,113
100163617,2646,301,140
100163737,3174,401,128
100163857,3366,404,157
100164073,2628,322,116
100164313,2832,334,138
100164433,2988,348,150
100164481,2340,264,126
100164529,2418,272,131
100164553,2670,312,133
100164577,3120,364,156
100164721,3228,385,153
100164913,3546,449,142
100165057,3408,412,156
100165129,2310,259,126
100165249,2466,292,119
100165297,2724,318,136
100165489,2670,326,119
100165633,2970,359,136
100165753,3024,360,144
100165969,3000,364,136
100166257,2934,369,120
100166761,2544,296,128
100167049,3000,357,143
100167409,2472,275,137
100167433,2670,330,115
100167649,2700,313,137
100167817,3018,325,178
100167841,2790,334,131
100167937,2838,324,149
100168009,3036,366,140
100168177,3126,390,131
100168249,2754,310,149
100168273,3606,424,177
100168729,3030,364,141
100168753,3102,379,138
100168897,3510,400,185
100169089,2598,296,137
100169353,3648,403,205
100169449,2796,312,154
100169473,3054,345,164
100169521,2472,291,121
100169689,2652,298,144
100169809,2664,323,121
100170073,2442,291,116
100170097,2538,316,107
100170241,2286,262,119
100170529,3042,331,176
100170769,2874,332,147
100170841,2016,234,102
100170937,2730,312,143
100171081,2964,353,141
100171129,3030,345,160
100171297,3204,403,131
100171441,2718,322,131
100171681,2628,302,136
100171873,2688,321,127
100172089,3792,453,179
100172113,3948,463,195
100172257,2748,326,132
100172329,2910,324,161
100172473,3756,459,167
100172593,3036,369,137
100173169,2838,344,129
100173313,3228,389,149
100173433,3228,389,149
100173649,2430,276,129
100173841,2442,281,126
100174273,2700,329,121
100174297,3432,433,139
100174369,2004,240,94
100174777,3114,377,142
100174801,2802,331,136
100175137,2958,350,143
100175161,2478,293,120
100175209,3048,354,154
100175329,2622,319,118
100175401,2766,319,142
100175473,3498,408,175
100175497,2964,354,140
100175617,3342,382,175
100175737,3180,379,151
100176001,2250,259,116
100176073,3744,443,181
100176313,3384,397,167
100176337,3432,408,164
100176361,3180,350,180
100176409,2184,248,116
100176553,3318,413,140
100176577,3672,432,180
100176697,3402,404,163
100176793,3684,453,161
100176913,3534,410,179
100176961,2604,287,147
100177081,2370,289,106
100177369,2880,343,137
100177393,3228,384,154
100177417,4134,484,205
100177657,3570,426,169
100177969,2832,339,133
100178233,2850,338,137
100178257,3726,442,179
100178497,2700,314,136
100178641,2316,263,123
100178737,3390,418,147
100179193,3336,385,171
100179217,3378,408,155
100179649,2724,329,125
100180033,4248,522,186
100180177,2550,333,92
100180273,2412,305,97
100180417,3000,383,117
100180657,2514,297,122
100180777,3306,408,143
100181569,2430,309,96
100181761,2022,218,119
100182097,2388,293,105
100182289,1926,234,87
100182337,2592,311,121
100182673,5292,687,195
100182697,4446,507,234
100182961,2736,333,123
100183177,3516,402,184
100183441,1986,235,96
100183513,3486,448,133
100183609,2076,223,123
100183849,3090,341,174
100183921,3168,380,148
100183969,3510,401,184
100184041,2556,265,161
100184089,3006,340,161
100184137,2514,298,121
100184209,2772,328,134
100184233,3072,373,139
100184377,3660,435,175
100184449,2574,291,138
100184593,3648,450,158
100184713,3408,431,137
100184809,3678,424,189
100184857,3168,390,138
100184881,2382,274,123
100185049,3162,362,165
100185073,3108,367,151
100185289,2352,273,119
100185409,1866,211,100
100185697,3474,429,150
100185889,2910,334,151
100186033,3120,371,149
100186081,2472,289,123
100186129,2712,319,133
100186153,3264,388,156
100186201,3600,423,177
100186249,2574,294,135
100186777,3222,382,155
100186921,2970,345,150
